supply_portion,buying_number_limit,application_percentage,consumer mask mean,consumer mask std,consumer wanted mean,consumer wanted std,store mask mean,store mask std
0.9,50.0,0.0,78.19870963315729,42.48576587527536,78.13787261195905,70.40133515656082,0.0,0.0
0.9,50.0,25.0,80.12038724683794,45.20457482274448,71.89871438008815,73.94397791733348,0.0,0.0
0.9,50.0,50.0,80.5497508854192,45.920788108905846,70.38474810458803,74.54960960488113,0.0,0.0
0.9,50.0,75.0,80.01411761504515,44.81640339639387,75.43493602545615,72.33261543989673,0.0,0.0
0.9,50.0,100.0,78.31641048665894,40.92964562117839,79.09329944952621,68.9350600943121,0.0,0.0
0.9,100.0,0.0,82.95370285576416,55.76554228734736,80.3756083380904,79.9207650060632,0.0,0.0
0.9,100.0,25.0,83.16028270020637,57.40316071322877,80.06465853487111,82.15928804476961,0.0,0.0
0.9,100.0,50.0,83.90407219423234,57.70826898173758,78.80472741926128,80.63596357764384,0.0,0.0
0.9,100.0,75.0,83.47548427399927,56.21083431225943,79.02908411083529,80.5655619681612,0.0,0.0
0.9,100.0,100.0,83.33338243544655,54.63633467081815,77.90353171463654,79.09193953750207,0.0,0.0
0.9,150.0,0.0,85.75673711144442,68.26774790362106,86.69040792617189,85.28871056341298,0.0,0.0
0.9,150.0,25.0,87.17505455209262,69.34478493722685,86.12949574976442,84.94260642292333,0.0,0.0
0.9,150.0,50.0,85.78790596609586,69.12096678740012,87.37308244666781,85.5197229699276,0.0,0.0
0.9,150.0,75.0,86.95086920619927,68.58550620392923,87.07369705524154,85.52156751250176,0.0,0.0
0.9,150.0,100.0,85.95678276632835,67.76338204121802,86.54092248848274,84.42154556546147,0.0,0.0
0.9,1000.0,0.0,87.813487615996,78.65278169988507,93.46227595772753,87.50035351699951,0.0,0.0
0.9,1000.0,25.0,86.83727193929006,78.94915055080452,95.39080142815008,89.57958607857364,0.0,0.0
0.9,1000.0,50.0,87.78112075867232,79.24880428357838,94.52641991504039,88.64717321503748,0.0,0.0
0.9,1000.0,75.0,87.31319779477347,79.18476143995564,94.42835207645082,88.54059036763425,0.0,0.0
0.9,1000.0,100.0,86.405528686013,79.30792196434224,96.47852562325649,87.7214090535587,0.0,0.0
1.0,50.0,0.0,87.27405363557057,41.49479906405124,65.16058043592766,67.49269378308973,0.0,0.0
1.0,50.0,25.0,88.83908808205543,43.469751897447075,57.0973830805327,68.54084597836346,0.0,0.0
1.0,50.0,50.0,89.22750399626614,44.961605506396715,54.671236642420276,69.65617389746124,0.0,0.0
1.0,50.0,75.0,88.25317876188161,44.60862527285192,59.3623982639592,70.71433708744526,0.0,0.0
1.0,50.0,100.0,89.60356842538265,39.93635341233113,57.860416386229225,63.79368690794913,0.0,0.0
1.0,100.0,0.0,92.65316447725847,54.16118249318051,63.959262572752955,76.31680310907235,0.0,0.0
1.0,100.0,25.0,92.31885557178079,55.54545147655739,65.19172901385166,78.29356815405212,0.0,0.0
1.0,100.0,50.0,92.20849843251865,56.37339132749127,66.02276709745402,78.14483360665481,0.0,0.0
1.0,100.0,75.0,92.72338037682012,55.841926171073446,65.44563091233853,77.37831461721528,0.0,0.0
1.0,100.0,100.0,91.86526895635167,54.35500595523502,66.61959554183126,76.69865977503692,0.0,0.0
1.0,150.0,0.0,94.29471810699278,68.17623301722794,76.57961164868782,82.70926523982631,0.0,0.0
1.0,150.0,25.0,95.73093626449084,69.20936415281237,74.54872192068623,84.15119075663954,0.0,0.0
1.0,150.0,50.0,94.78010207209502,70.3085723177685,76.8717046909993,84.21201997967535,0.0,0.0
1.0,150.0,75.0,94.13126564352136,69.0558858863091,76.29326883550324,83.60595091682701,0.0,0.0
1.0,150.0,100.0,94.69368348890428,66.56280950787963,76.65565966912875,81.64660350720432,0.0,0.0
1.0,1000.0,0.0,96.27865272473478,78.95845057619074,83.82545640766261,85.99592448572561,0.0,0.0
1.0,1000.0,25.0,96.90800466468009,79.80559158343928,82.72738332935499,86.77660728732614,0.0,0.0
